Date,Open,High,Low,Close,Adj Close,Volume,Matdiff,,Maturity date
09/08/2019,7.57,7.58,7.47,7.53,7.53,4678200,308,,
12/08/2019,7.17,7.19,6.88,6.95,6.95,15671600,305,,
13/08/2019,6.97,7.22,6.94,7.21,7.21,11055900,304,,
14/08/2019,6.85,6.88,6.69,6.69,6.69,10756700,303,,
15/08/2019,6.61,6.68,6.44,6.44,6.44,11136600,302,,
16/08/2019,6.51,6.95,6.51,6.94,6.94,14496000,301,,
19/08/2019,7.03,7.06,7,7.05,7.05,6734300,298,,
20/08/2019,6.95,7.02,6.9,6.97,6.97,8859200,297,,
21/08/2019,7.05,7.07,7,7.01,7.01,8909300,296,,
22/08/2019,7.18,7.21,7.11,7.17,7.17,5746100,295,,
23/08/2019,7.09,7.19,6.96,6.97,6.97,6324800,294,,
26/08/2019,7.1,7.12,7,7.07,7.07,4324500,291,,
27/08/2019,7.16,7.19,7.07,7.13,7.13,6217100,290,,
28/08/2019,7.07,7.21,7.05,7.16,7.16,2734700,289,,
29/08/2019,7.21,7.26,7.2,7.22,7.22,3394000,288,,
30/08/2019,7.25,7.3,7.2,7.25,7.25,3045300,287,,
03/09/2019,7.27,7.32,7.21,7.3,7.3,6163400,283,,
04/09/2019,7.46,7.49,7.39,7.48,7.48,3907900,282,,
05/09/2019,7.74,7.85,7.72,7.82,7.82,8565600,281,,
06/09/2019,7.82,7.88,7.78,7.85,7.85,3480400,280,,
09/09/2019,8.01,8.18,7.99,8.13,8.13,6726200,277,,
10/09/2019,8.25,8.32,8.21,8.3,8.3,6733800,276,,
11/09/2019,8.2,8.29,8.14,8.29,8.29,8082300,275,,
12/09/2019,8.15,8.35,8.09,8.32,8.32,10229200,274,,
13/09/2019,8.48,8.53,8.4,8.45,8.45,6939000,273,,
16/09/2019,8.29,8.32,8.21,8.23,8.23,9456200,270,,
17/09/2019,8.06,8.22,7.99,8.19,8.19,5734200,269,,
18/09/2019,8.08,8.1,7.96,8.06,8.06,4686700,268,,
19/09/2019,8.13,8.16,8.06,8.07,8.07,3324900,267,,
20/09/2019,8.09,8.12,7.98,7.99,7.99,3952400,266,,
23/09/2019,7.78,7.82,7.69,7.79,7.79,8311500,263,,
24/09/2019,7.75,7.76,7.54,7.58,7.58,6403900,262,,
25/09/2019,7.43,7.62,7.42,7.58,7.58,5206900,261,,
26/09/2019,7.48,7.52,7.39,7.42,7.42,3153000,260,,
27/09/2019,7.54,7.6,7.49,7.56,7.56,3819700,259,,
30/09/2019,7.53,7.53,7.44,7.5,7.5,3487000,256,,
01/10/2019,7.44,7.47,7.22,7.25,7.25,6235900,255,,
02/10/2019,7.25,7.33,7.15,7.19,7.19,5473300,254,,
03/10/2019,7.14,7.2,7.02,7.15,7.15,5521200,253,,
04/10/2019,7.12,7.2,7.04,7.19,7.19,3282300,252,,
07/10/2019,7.04,7.15,7.01,7.09,7.09,4054800,249,,
08/10/2019,6.94,6.99,6.87,6.92,6.92,6911200,248,,
09/10/2019,6.93,6.97,6.88,6.94,6.94,4318700,247,,
10/10/2019,7.06,7.17,7.04,7.13,7.13,5626700,246,,
11/10/2019,7.42,7.55,7.41,7.46,7.46,6570400,245,,
14/10/2019,7.54,7.58,7.51,7.55,7.55,3397700,242,,
15/10/2019,7.6,7.82,7.57,7.78,7.78,5760400,241,,
16/10/2019,7.9,7.95,7.84,7.84,7.84,5180300,240,,
17/10/2019,7.96,8.02,7.9,7.9,7.9,5469500,239,,
18/10/2019,7.94,7.96,7.85,7.92,7.92,5034800,238,,
21/10/2019,8.15,8.16,8.06,8.08,8.08,5694900,235,,
22/10/2019,8.04,8.05,7.89,7.91,7.91,10235800,234,,
23/10/2019,7.96,8,7.91,7.99,7.99,3547400,233,,
24/10/2019,8.01,8.05,7.79,7.9,7.9,5753700,232,,
25/10/2019,7.89,7.97,7.88,7.97,7.97,2985100,231,,
28/10/2019,8.02,8.05,8,8.05,8.05,5531500,228,,
29/10/2019,8.05,8.06,7.97,7.98,7.98,3999500,227,,
30/10/2019,7.5,7.51,7.31,7.36,7.36,19220500,226,,
31/10/2019,7.33,7.34,7.19,7.25,7.25,5244900,225,,
01/11/2019,7.33,7.41,7.33,7.39,7.39,3906200,224,,
04/11/2019,7.63,7.68,7.58,7.66,7.66,5264100,221,,
05/11/2019,7.7,7.72,7.61,7.61,7.61,5683200,220,,
06/11/2019,7.68,7.72,7.6,7.65,7.65,4469400,219,,
07/11/2019,7.8,7.84,7.75,7.76,7.76,5334800,218,,
08/11/2019,7.65,7.69,7.61,7.63,7.63,5739900,217,,
11/11/2019,7.53,7.63,7.51,7.61,7.61,2959700,214,,
12/11/2019,7.62,7.68,7.6,7.63,7.63,3211800,213,,
13/11/2019,7.36,7.39,7.26,7.28,7.28,5793200,212,,
14/11/2019,7.29,7.31,7.17,7.21,7.21,4273900,211,,
15/11/2019,7.3,7.33,7.25,7.31,7.31,3548100,210,,
18/11/2019,7.26,7.35,7.23,7.35,7.35,2018000,207,,
19/11/2019,7.36,7.39,7.27,7.35,7.35,4584400,206,,
20/11/2019,7.27,7.32,7.22,7.3,7.3,5295000,205,,
21/11/2019,7.37,7.41,7.32,7.38,7.38,4014800,204,,
22/11/2019,7.37,7.43,7.34,7.36,7.36,3158000,203,,
25/11/2019,7.36,7.39,7.32,7.38,7.38,3589500,200,,
26/11/2019,7.31,7.32,7.27,7.29,7.29,3178900,199,,
27/11/2019,7.35,7.37,7.33,7.36,7.36,2867200,198,,
29/11/2019,7.26,7.26,7.2,7.21,7.21,2807400,196,,
02/12/2019,7.23,7.25,7.16,7.19,7.19,3894500,193,,
03/12/2019,7.07,7.08,7.01,7.06,7.06,4664000,192,,
04/12/2019,7.06,7.22,7.05,7.17,7.17,4000200,191,,
05/12/2019,7.2,7.23,7.14,7.18,7.18,2930600,190,,
06/12/2019,7.24,7.26,7.18,7.22,7.22,2117500,189,,
09/12/2019,7.25,7.31,7.21,7.21,7.21,3764000,186,,
10/12/2019,7.19,7.23,7.15,7.19,7.19,3886100,185,,
11/12/2019,7.28,7.31,7.26,7.26,7.26,2719700,184,,
12/12/2019,7.43,7.6,7.41,7.57,7.57,12537800,183,,
13/12/2019,7.57,7.71,7.46,7.48,7.48,5662700,182,,
16/12/2019,7.69,7.78,7.67,7.69,7.69,4436700,179,,
17/12/2019,7.73,7.82,7.73,7.81,7.81,4467800,178,,
18/12/2019,7.8,7.83,7.75,7.75,7.75,2732300,177,,
19/12/2019,7.82,7.92,7.81,7.89,7.89,2935100,176,,
20/12/2019,7.79,7.84,7.76,7.77,7.77,3000100,175,,
