Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,186.179993,189.990005,185.710007,189.880005,185.338959,2420800
2019-06-05,190.100006,190.160004,187.009995,188.440002,183.933380,1967800
2019-06-06,188.059998,190.740005,187.309998,189.809998,185.270630,1653500
2019-06-07,189.880005,190.610001,188.520004,189.809998,185.270630,1838600
2019-06-10,191.399994,197.000000,191.399994,194.119995,189.477539,2372000
2019-06-11,195.300003,196.119995,193.509995,194.729996,190.072952,1632200
2019-06-12,193.610001,194.050003,189.830002,190.220001,185.670822,2058800
2019-06-13,190.410004,192.250000,190.070007,191.449997,186.871399,1411400
2019-06-14,191.289993,192.169998,189.309998,191.660004,187.076370,1403900
2019-06-17,192.020004,193.229996,190.740005,190.830002,186.266235,1155600
2019-06-18,190.669998,197.130005,190.669998,194.979996,190.316956,2363000
2019-06-19,195.350006,197.610001,194.789993,195.639999,190.961197,2196800
2019-06-20,197.500000,198.190002,193.610001,195.699997,191.019745,2749300
2019-06-21,195.339996,198.339996,193.970001,195.940002,191.254013,3365500
2019-06-24,196.529999,199.350006,196.029999,197.490005,192.766968,2069800
2019-06-25,197.500000,197.520004,194.009995,196.059998,191.371155,1828300
2019-06-26,196.500000,197.869995,196.119995,197.009995,192.298431,1649900
2019-06-27,197.570007,199.610001,196.759995,199.320007,194.553192,2239200
2019-06-28,203.500000,205.839996,202.940002,204.600006,199.706909,4854900
2019-07-01,208.000000,209.850006,205.740005,206.860001,201.912872,2465700
2019-07-02,205.399994,206.309998,204.160004,205.979996,201.053894,1621400
2019-07-03,207.300003,207.399994,205.229996,206.039993,201.112473,978800
2019-07-05,206.860001,208.759995,206.199997,207.899994,202.927994,1511400
2019-07-08,206.360001,207.250000,204.710007,205.750000,200.829407,1853900
2019-07-09,203.750000,207.940002,203.539993,207.770004,202.801117,1812100
2019-07-10,207.179993,208.990005,205.649994,205.970001,201.044144,1779800
2019-07-11,206.199997,212.589996,206.000000,211.350006,206.295486,3691600
2019-07-12,212.000000,214.190002,210.789993,213.940002,208.823547,2626000
2019-07-15,214.110001,214.600006,209.789993,211.580002,206.519974,2600200
2019-07-16,214.800003,217.330002,212.550003,215.520004,210.365768,5283700
2019-07-17,213.830002,215.779999,213.160004,213.300003,208.198837,2583500
2019-07-18,212.710007,215.830002,211.750000,214.520004,209.389679,2859000
2019-07-19,214.020004,215.770004,213.350006,213.520004,208.413589,1822300
2019-07-22,213.399994,214.860001,212.309998,214.000000,208.882111,1907100
2019-07-23,214.949997,220.000000,214.949997,219.429993,214.182251,3330600
2019-07-24,219.250000,222.089996,218.630005,222.029999,216.720062,3180000
2019-07-25,221.770004,221.770004,218.229996,219.979996,214.719086,2776700
2019-07-26,220.449997,222.240005,220.369995,222.139999,216.827438,2304500
2019-07-29,221.000000,222.130005,220.199997,220.320007,215.050964,1372800
2019-07-30,218.490005,221.990005,217.330002,221.399994,216.105118,1644600
2019-07-31,221.240005,221.979996,219.009995,220.130005,214.865509,1991100
2019-08-01,219.350006,219.949997,210.759995,211.600006,206.539505,3070100
2019-08-02,211.580002,211.580002,205.309998,209.369995,204.362823,2503000
2019-08-05,205.820007,205.820007,199.580002,201.679993,196.856735,2794200
2019-08-06,203.559998,206.070007,200.889999,206.009995,201.083176,2349400
2019-08-07,201.110001,205.960007,199.050003,205.740005,200.819656,2454200
2019-08-08,207.169998,207.800003,203.539993,207.000000,202.049515,2342200
2019-08-09,205.619995,208.300003,203.860001,206.899994,201.951889,1790100
2019-08-12,203.279999,204.149994,200.479996,201.520004,196.700562,1479300
2019-08-13,201.509995,206.600006,200.229996,204.110001,199.228638,2115900
2019-08-14,199.800003,199.910004,195.059998,195.559998,190.883087,3025100
2019-08-15,195.910004,196.970001,193.710007,196.179993,191.488281,1981900
2019-08-16,197.029999,200.669998,197.000000,199.419998,194.650803,1878700
2019-08-19,203.809998,204.449997,201.820007,202.199997,197.364304,1646100
2019-08-20,200.210007,201.990005,199.699997,199.979996,195.197403,1545600
2019-08-21,202.740005,203.020004,200.169998,200.679993,195.880661,1160800
2019-08-22,202.279999,203.449997,200.910004,202.419998,197.579025,1275900
2019-08-23,200.809998,201.880005,195.190002,196.199997,191.507797,2200500
2019-08-26,198.270004,199.710007,198.000000,199.649994,194.875290,1441900
2019-08-27,200.330002,200.860001,196.500000,198.070007,193.333084,1513300
2019-08-28,196.570007,201.470001,196.250000,200.419998,195.626862,1437800
2019-08-29,201.360001,204.369995,201.360001,203.440002,199.820923,1816800
2019-08-30,204.850006,205.210007,203.009995,203.910004,200.282562,1529600
2019-09-03,201.100006,201.610001,196.580002,198.970001,195.430450,2633600
2019-09-04,201.490005,202.100006,200.050003,201.729996,198.141342,1720600
2019-09-05,205.270004,208.929993,205.039993,207.050003,203.366699,2237900
2019-09-06,207.059998,208.250000,205.570007,207.210007,203.523849,1438800
2019-09-09,209.220001,213.880005,208.440002,211.979996,208.209000,2734500
2019-09-10,213.500000,217.089996,213.220001,215.630005,211.794067,2615800
2019-09-11,215.210007,216.850006,213.360001,216.800003,212.943253,1886300
2019-09-12,216.380005,220.759995,215.149994,218.740005,214.848755,2913800
2019-09-13,220.350006,221.500000,219.199997,219.899994,215.988098,2722400
2019-09-16,217.820007,219.330002,216.320007,217.220001,213.355774,2205500
2019-09-17,215.800003,216.139999,212.539993,215.910004,212.069092,2429100
2019-09-18,214.830002,217.889999,213.300003,217.080002,213.218277,2474900
2019-09-19,217.580002,217.929993,215.059998,215.229996,211.401169,1596200
2019-09-20,214.660004,216.679993,213.630005,213.740005,209.937683,5458900
2019-09-23,212.850006,214.110001,211.559998,213.460007,209.662674,1485500
2019-09-24,214.039993,214.199997,206.800003,207.750000,204.054245,2837600
2019-09-25,207.960007,211.089996,207.449997,210.029999,206.293671,1593400
2019-09-26,209.050003,209.970001,208.110001,208.220001,204.515884,1685500
2019-09-27,209.850006,210.550003,208.089996,208.970001,205.252548,1530900
2019-09-30,209.710007,209.710007,206.830002,207.229996,203.543488,1794500
2019-10-01,207.009995,209.380005,202.610001,202.690002,199.084259,3156200
2019-10-02,201.690002,201.880005,197.600006,198.250000,194.723251,3386800
2019-10-03,197.610001,198.369995,193.990005,197.240005,193.731232,2914500
2019-10-04,196.990005,201.229996,196.039993,200.800003,197.227890,3021100
2019-10-07,200.789993,202.529999,199.470001,200.399994,196.834991,2202200
2019-10-08,197.600006,198.949997,195.919998,197.369995,193.858887,2654900
2019-10-09,198.190002,198.979996,196.679993,196.850006,193.348160,2443500
2019-10-10,197.589996,201.320007,197.539993,199.869995,196.314407,2108000
2019-10-11,203.720001,207.289993,203.720001,204.679993,201.038849,3334300
2019-10-14,203.830002,206.169998,202.919998,205.820007,202.158585,2286100
2019-10-15,202.000000,208.240005,198.610001,206.460007,202.787201,8241900
2019-10-16,206.169998,208.619995,206.100006,207.419998,203.730118,3405800
2019-10-17,208.289993,208.929993,204.389999,206.460007,202.787201,2876500
2019-10-18,204.990005,208.059998,204.990005,206.520004,202.846146,2207000
2019-10-21,208.669998,210.860001,207.679993,209.250000,205.527557,1934900
2019-10-22,209.589996,211.649994,208.309998,209.600006,205.871338,1868000
2019-10-23,209.220001,212.020004,209.000000,211.320007,207.560745,1574500
2019-10-24,211.610001,213.149994,209.779999,211.050003,207.295532,1266500
2019-10-25,210.179993,215.419998,210.179993,214.229996,210.418961,2602100
2019-10-28,216.320007,218.919998,215.690002,217.750000,213.876343,2707800
2019-10-29,217.220001,219.279999,216.449997,217.639999,213.768311,2030400
2019-10-30,217.020004,217.050003,213.809998,215.809998,211.970856,1584900
2019-10-31,215.149994,215.360001,211.320007,213.380005,209.584091,1876200
2019-11-01,215.259995,217.889999,214.750000,217.389999,213.522766,2112300
2019-11-04,219.699997,220.690002,218.570007,219.869995,215.958633,2538100
2019-11-05,220.800003,221.779999,218.470001,218.639999,214.750519,2525100
2019-11-06,218.009995,219.070007,216.550003,218.419998,214.534424,1863000
2019-11-07,220.770004,224.770004,220.410004,223.289993,219.317795,3748600
2019-11-08,223.000000,223.229996,221.100006,222.910004,218.944565,1610800
2019-11-11,220.899994,221.410004,218.520004,219.029999,215.133575,2754500
2019-11-12,218.559998,221.110001,217.929993,220.410004,216.489044,1891600
2019-11-13,218.389999,219.839996,217.009995,219.320007,215.418427,1756000
2019-11-14,218.789993,220.470001,218.029999,219.429993,215.526459,1483100
2019-11-15,220.000000,221.089996,219.039993,220.250000,216.331879,1693100
2019-11-18,219.729996,219.949997,218.039993,219.729996,215.821121,1603400
2019-11-19,220.559998,220.679993,218.309998,220.039993,216.125610,1817100
2019-11-20,218.360001,219.470001,216.399994,217.910004,214.033524,2177700
2019-11-21,218.600006,219.320007,216.820007,218.229996,214.347809,1677500
2019-11-22,218.000000,220.710007,218.000000,220.279999,216.361343,1529100
2019-11-25,220.889999,223.949997,220.889999,222.750000,218.787399,2181800
2019-11-26,222.679993,222.759995,221.110001,222.449997,218.492752,1926300
2019-11-27,223.449997,224.279999,221.860001,222.949997,218.983856,1614600
2019-11-29,220.880005,222.000000,220.410004,221.350006,218.638138,770400
