Date,Open,High,Low,Close,Adj Close,Volume
04/06/2019,34.380001,35.77,34.299999,35.73,34.211025,12875700
05/06/2019,36.040001,36.139999,35.330002,35.84,34.316353,9605600
06/06/2019,35.09,35.439999,34.459999,35.189999,34.055058,9749200
07/06/2019,35.310001,35.549999,35.150002,35.490002,34.345383,6561000
10/06/2019,36.130001,36.509998,35.889999,36.009998,34.84861,8498000
11/06/2019,36.360001,36.580002,36.099998,36.200001,35.032486,4652000
12/06/2019,36.259998,36.259998,35.560001,35.669998,34.519577,5508100
13/06/2019,35.630001,36.049999,35.41,36.02,34.858288,3917300
14/06/2019,35.880001,35.990002,35.540001,35.66,34.509899,4953400
17/06/2019,35.560001,36.18,35.360001,36.139999,34.974415,5454900
18/06/2019,36.380001,36.779999,36.139999,36.700001,35.516357,8226900
19/06/2019,37,37.470001,36.75,36.779999,35.593781,10884800
20/06/2019,37.150002,37.310001,36.490002,36.959999,35.767975,8639700
21/06/2019,36.959999,37.099998,36.650002,36.919998,35.729259,13004600
24/06/2019,36.830002,37.119999,36.580002,36.959999,35.767975,7449000
25/06/2019,37.060001,37.880001,36.740002,37.68,36.464748,12930500
26/06/2019,37.82,38.5,37.709999,38.130001,36.900238,11911400
27/06/2019,38.599998,38.990002,38.16,38.32,37.08411,8106600
28/06/2019,38.330002,38.919998,38.330002,38.529999,37.287334,11480900
01/07/2019,38.93,38.990002,38.43,38.75,37.50024,10240000
02/07/2019,38.73,38.75,38.150002,38.34,37.103466,6679300
03/07/2019,38.5,38.689999,37.990002,38.16,36.929272,4409400
05/07/2019,38,38.52,37.740002,38.5,37.258308,4851900
08/07/2019,38.41,38.639999,38.119999,38.23,36.997013,5787300
09/07/2019,37.970001,38.169998,37.580002,38.080002,36.851849,6204700
10/07/2019,38.349998,38.470001,37.869999,38.099998,36.871208,5153100
11/07/2019,38.279999,38.580002,38.099998,38.43,37.190559,4598400
12/07/2019,38.599998,39.41,38.52,39.209999,37.945404,7164700
15/07/2019,39.209999,39.360001,38.889999,39.360001,38.090569,5448800
16/07/2019,38.990002,39.700001,38.650002,39.43,38.158314,8584800
17/07/2019,39.41,39.459999,38.82,39.16,37.897018,5727300
18/07/2019,38.970001,39.279999,38.869999,39.119999,37.858307,5713800
19/07/2019,39.400002,39.82,39.240002,39.48,38.206699,8194500
22/07/2019,39.959999,40.369999,39.77,39.860001,38.57444,6812800
23/07/2019,40.349998,40.919998,40.150002,40.709999,39.397026,12584300
